Date,Open,High,Low,Close*,Adj Close**,Volume
"May 11, 2017",951.29,957.99,948.61,955.89,955.89,"1,031,100"
"May 10, 2017",956.22,956.71,949.84,954.84,954.84,"1,146,000"
"May 9, 2017",961.33,962.2,954.4,956.71,956.71,"1,687,900"
"May 8, 2017",947.45,960.99,947.4,958.69,958.69,"1,876,700"
"May 5, 2017",956.72,958.44,948.1,950.28,950.28,"1,615,500"
"May 4, 2017",950.29,959.14,947.37,954.72,954.72,"1,937,600"
"May 3, 2017",936.05,950.2,935.21,948.45,948.45,"1,824,800"
"May 2, 2017",933.27,942.99,931,937.09,937.09,"1,751,300"
"May 1, 2017",924.15,935.82,920.8,932.82,932.82,"2,327,800"
"April 28, 2017",929,935.9,923.22,924.52,924.52,"3,797,800"
"April 27, 2017",890,893.38,887.18,891.44,891.44,"2,342,300"
"April 26, 2017",891.39,892.99,885.15,889.14,889.14,"1,323,300"
"April 25, 2017",882.26,892.25,879.28,888.84,888.84,"2,038,000"
"April 24, 2017",868.44,879.96,866.11,878.93,878.93,"1,696,500"
"April 21, 2017",860.62,862.44,857.73,858.95,858.95,"1,172,900"
"April 20, 2017",859.74,863.93,857.5,860.08,860.08,"1,188,800"
"April 19, 2017",857.39,860.2,853.53,856.51,856.51,"1,080,300"
"April 18, 2017",852.54,857.39,851.25,853.99,853.99,"936,200"
"April 17, 2017",841.38,855.64,841.03,855.13,855.13,"1,049,100"
"April 13, 2017",841.04,843.73,837.85,840.18,840.18,"1,073,700"
"April 12, 2017",838.46,843.72,837.59,841.46,841.46,"1,135,800"
"April 11, 2017",841.7,844.63,834.6,839.88,839.88,"974,300"
"April 10, 2017",841.54,846.74,840.79,841.7,841.7,"1,046,200"
"April 7, 2017",845,845.88,837.3,842.1,842.1,"1,111,600"
"April 6, 2017",849.5,853.59,844,845.1,845.1,"1,533,600"
"April 5, 2017",854.71,860.59,847.52,848.91,848.91,"1,855,200"
"April 4, 2017",848,853,847.51,852.57,852.57,"1,348,500"
"April 3, 2017",848.75,859,847.53,856.75,856.75,"1,969,400"
"March 31, 2017",846.83,849.56,845.24,847.8,847.8,"1,441,000"
"March 30, 2017",851.98,852,846.77,849.48,849.48,"949,400"
"March 29, 2017",842.75,851.59,841.38,849.87,849.87,"1,457,300"
"March 28, 2017",839.69,845.4,832.27,840.63,840.63,"1,519,200"
"March 27, 2017",828.09,841.38,824.3,838.51,838.51,"1,934,600"
"March 24, 2017",842,844,829.1,835.14,835.14,"2,105,700"
"March 23, 2017",841.39,841.69,833,839.65,839.65,"3,287,700"
"March 22, 2017",849.48,855.35,847,849.8,849.8,"1,366,700"
"March 21, 2017",870.06,873.47,847.69,850.14,850.14,"2,538,000"
"March 20, 2017",869.48,870.34,864.67,867.91,867.91,"1,542,200"
"March 17, 2017",873.68,874.42,868.37,872.37,872.37,"1,868,300"
"March 16, 2017",870.53,872.71,867.52,870,870,"1,104,500"
"March 15, 2017",867.94,869.88,861.3,868.39,868.39,"1,332,900"
"March 14, 2017",863.75,867.58,860.13,865.91,865.91,"1,061,700"
"March 13, 2017",860.83,867.13,860.82,864.58,864.58,"1,166,600"
"March 10, 2017",862.7,864.23,857.61,861.41,861.41,"1,336,600"
"March 9, 2017",853.69,860.71,852.67,857.84,857.84,"1,347,700"
"March 8, 2017",853.12,856.93,851.25,853.64,853.64,"1,028,800"
"March 7, 2017",847.26,853.33,845.52,851.15,851.15,"1,038,700"
"March 6, 2017",846.86,848.94,841.17,847.27,847.27,"1,047,900"
"March 3, 2017",848.94,850.82,844.71,849.08,849.08,"1,005,000"
"March 2, 2017",856.31,856.49,848.72,849.85,849.85,"1,250,900"
