Date,Open,High,Low,Close*,Adj Close**,Volume
15-Sep-17,940.09,941.75,931.25,935.29,935.29,1994300.00
14-Sep-17,946.00,948.03,938.36,940.13,940.13,1427400.00
13-Sep-17,945.50,952.85,944.74,950.44,950.44,1095400.00
12-Sep-17,946.92,948.09,937.50,946.65,946.65,1284800.00
11-Sep-17,947.20,952.68,941.00,943.29,943.29,1337400.00
08-Sep-17,949.70,950.70,940.01,941.41,941.41,999900.00
07-Sep-17,944.25,950.50,937.53,949.89,949.89,1116600.00
06-Sep-17,943.87,944.50,932.68,942.02,942.02,1391500.00
05-Sep-17,946.86,951.39,935.60,941.48,941.48,1457400.00
01-Sep-17,957.47,958.33,950.28,951.99,951.99,1042900.00
31-Aug-17,946.30,957.20,946.25,955.24,955.24,1693300.00
30-Aug-17,935.67,945.86,934.05,943.63,943.63,1120300.00
29-Aug-17,919.95,938.19,919.31,935.75,935.75,1158600.00
28-Aug-17,931.88,934.85,926.11,928.13,928.13,1049400.00
25-Aug-17,939.21,940.73,930.10,930.50,930.50,1187300.00
24-Aug-17,943.71,946.31,930.74,936.89,936.89,1294600.00
23-Aug-17,937.00,945.43,935.24,942.58,942.58,1134500.00
22-Aug-17,926.96,941.96,926.17,940.40,940.40,1775100.00
21-Aug-17,925.77,928.25,918.60,920.87,920.87,1301200.00
18-Aug-17,926.98,931.02,923.45,926.18,926.18,1337400.00
17-Aug-17,942.95,943.81,927.64,927.66,927.66,1695700.00
16-Aug-17,941.25,949.90,940.04,944.27,944.27,1345300.00
15-Aug-17,941.03,943.07,936.64,938.08,938.08,1106500.00
14-Aug-17,939.07,941.04,934.49,938.93,938.93,1148500.00
11-Aug-17,923.71,933.36,921.22,930.09,930.09,1616700.00
10-Aug-17,935.00,936.30,921.78,923.59,923.59,2707400.00
09-Aug-17,938.45,943.76,933.92,940.08,940.08,1400900.00
08-Aug-17,944.29,952.49,942.48,944.19,944.19,1505100.00
07-Aug-17,947.52,948.96,943.50,945.75,945.75,1445800.00
04-Aug-17,943.95,947.54,939.80,945.79,945.79,1254600.00
03-Aug-17,949.10,950.00,939.44,940.30,940.30,1123900.00
02-Aug-17,948.37,949.10,932.52,947.64,947.64,2039400.00
01-Aug-17,947.81,954.49,944.96,946.56,946.56,1402600.00
31-Jul-17,960.00,961.19,941.73,945.50,945.50,2283500.00
28-Jul-17,947.99,961.79,945.31,958.33,958.33,1813800.00
27-Jul-17,969.18,969.52,937.06,952.51,952.51,3717900.00
26-Jul-17,972.78,973.95,960.23,965.31,965.31,2221600.00
25-Jul-17,970.70,976.73,963.80,969.03,969.03,5933600.00
24-Jul-17,994.10,1006.19,990.27,998.31,998.31,3984500.00
21-Jul-17,989.00,995.11,984.17,993.84,993.84,1463300.00
20-Jul-17,997.00,998.68,984.62,992.19,992.19,1418400.00
19-Jul-17,990.01,995.60,987.01,992.77,992.77,1412100.00
18-Jul-17,973.36,990.85,972.04,986.95,986.95,1413300.00
17-Jul-17,976.32,983.35,970.80,975.96,975.96,1660500.00
14-Jul-17,974.00,977.54,970.15,976.91,976.91,1079600.00
13-Jul-17,970.80,978.70,964.80,968.85,968.85,1524600.00
12-Jul-17,960.86,969.63,957.04,967.66,967.66,1602100.00
11-Jul-17,950.52,954.89,945.12,953.53,953.53,1461200.00
10-Jul-17,941.95,953.13,941.95,951.00,951.00,1451500.00
07-Jul-17,930.99,944.66,929.79,940.81,940.81,1663300.00
06-Jul-17,925.00,936.14,919.85,927.69,927.69,2014900.00
05-Jul-17,924.20,936.29,918.63,932.26,932.26,2094100.00
03-Jul-17,933.22,934.24,915.31,919.46,919.46,1694800.00
30-Jun-17,943.99,945.00,929.61,929.68,929.68,2287700.00
29-Jun-17,951.35,951.66,929.60,937.82,937.82,3206700.00
28-Jun-17,950.66,963.24,936.16,961.01,961.01,2745600.00
27-Jun-17,961.60,967.22,947.09,948.09,948.09,2443600.00
26-Jun-17,990.00,993.99,970.33,972.09,972.09,1517900.00
23-Jun-17,975.50,986.62,974.46,986.09,986.09,1564000.00
22-Jun-17,976.87,980.50,973.31,976.62,976.62,1009500.00
21-Jun-17,970.79,979.55,969.45,978.59,978.59,1161600.00
20-Jun-17,975.31,980.79,968.20,968.99,968.99,1297300.00
19-Jun-17,969.65,979.30,968.20,975.22,975.22,1468800.00
16-Jun-17,957.91,959.95,948.70,958.62,958.62,2559200.00
15-Jun-17,948.02,960.68,940.37,960.18,960.18,2427600.00
14-Jun-17,975.50,979.70,959.51,967.93,967.93,1505500.00
13-Jun-17,972.04,977.91,962.01,970.50,970.50,2005400.00
12-Jun-17,958.72,968.00,936.80,961.81,961.81,4202100.00
09-Jun-17,1005.49,1005.50,953.37,970.12,970.12,3647900.00
08-Jun-17,1004.23,1005.60,996.62,1004.28,1004.28,1679900.00
07-Jun-17,999.09,1003.91,995.87,1001.50,1001.50,1374100.00
06-Jun-17,1003.31,1008.61,994.80,996.68,996.68,1552100.00
05-Jun-17,997.89,1007.40,995.45,1003.88,1003.88,1378900.00
02-Jun-17,988.59,996.48,987.07,996.12,996.12,1735500.00
01-Jun-17,990.96,993.14,981.29,988.29,988.29,1306400.00
31-May-17,996.21,999.60,981.68,987.09,987.09,1724100.00
30-May-17,992.50,997.62,991.36,996.17,996.17,1516200.00
26-May-17,992.00,996.39,987.36,993.27,993.27,1636400.00
25-May-17,979.00,995.78,977.82,991.86,991.86,1954100.00
24-May-17,975.26,978.12,971.63,977.61,977.61,1133000.00
23-May-17,969.96,974.51,964.50,970.55,970.55,1545400.00
22-May-17,957.00,964.82,956.56,964.07,964.07,1387400.00
19-May-17,952.82,959.56,952.00,954.65,954.65,1360300.00
18-May-17,943.20,954.18,941.27,950.50,950.50,1800500.00
17-May-17,959.70,960.99,940.06,942.17,942.17,2449100.00
16-May-17,963.55,965.90,960.35,964.61,964.61,1101500.00
15-May-17,955.29,962.70,952.82,959.22,959.22,1337700.00
12-May-17,957.85,957.98,952.06,955.14,955.14,1214900.00
11-May-17,951.29,957.99,948.61,955.89,955.89,1031100.00
10-May-17,956.22,956.71,949.84,954.84,954.84,1146000.00
09-May-17,961.33,962.20,954.40,956.71,956.71,1687900.00
08-May-17,947.45,960.99,947.40,958.69,958.69,1876700.00
05-May-17,956.72,958.44,948.10,950.28,950.28,1615500.00
04-May-17,950.29,959.14,947.37,954.72,954.72,1937600.00
03-May-17,936.05,950.20,935.21,948.45,948.45,1824800.00
02-May-17,933.27,942.99,931.00,937.09,937.09,1751300.00
01-May-17,924.15,935.82,920.80,932.82,932.82,2327800.00
28-Apr-17,929.00,935.90,923.22,924.52,924.52,3797800.00
27-Apr-17,890.00,893.38,887.18,891.44,891.44,2342300.00
26-Apr-17,891.39,892.99,885.15,889.14,889.14,1323300.00
25-Apr-17,882.26,892.25,879.28,888.84,888.84,2038000.00
24-Apr-17,868.44,879.96,866.11,878.93,878.93,1696500.00
21-Apr-17,860.62,862.44,857.73,858.95,858.95,1172900.00
20-Apr-17,859.74,863.93,857.50,860.08,860.08,1188800.00
19-Apr-17,857.39,860.20,853.53,856.51,856.51,1080300.00
18-Apr-17,852.54,857.39,851.25,853.99,853.99,936200.00
17-Apr-17,841.38,855.64,841.03,855.13,855.13,1049100.00
13-Apr-17,841.04,843.73,837.85,840.18,840.18,1073700.00
12-Apr-17,838.46,843.72,837.59,841.46,841.46,1135800.00
11-Apr-17,841.70,844.63,834.60,839.88,839.88,974300.00
10-Apr-17,841.54,846.74,840.79,841.70,841.70,1046200.00
07-Apr-17,845.00,845.88,837.30,842.10,842.10,1111600.00
06-Apr-17,849.50,853.59,844.00,845.10,845.10,1533600.00
05-Apr-17,854.71,860.59,847.52,848.91,848.91,1855200.00
04-Apr-17,848.00,853.00,847.51,852.57,852.57,1348500.00
03-Apr-17,848.75,859.00,847.53,856.75,856.75,1969400.00
31-Mar-17,846.83,849.56,845.24,847.80,847.80,1441000.00
30-Mar-17,851.98,852.00,846.77,849.48,849.48,949400.00
29-Mar-17,842.75,851.59,841.38,849.87,849.87,1457300.00
28-Mar-17,839.69,845.40,832.27,840.63,840.63,1519200.00
27-Mar-17,828.09,841.38,824.30,838.51,838.51,1934600.00
24-Mar-17,842.00,844.00,829.10,835.14,835.14,2105700.00
23-Mar-17,841.39,841.69,833.00,839.65,839.65,3287700.00
22-Mar-17,849.48,855.35,847.00,849.80,849.80,1366700.00
21-Mar-17,870.06,873.47,847.69,850.14,850.14,2538000.00
20-Mar-17,869.48,870.34,864.67,867.91,867.91,1542200.00
17-Mar-17,873.68,874.42,868.37,872.37,872.37,1868300.00
16-Mar-17,870.53,872.71,867.52,870.00,870.00,1104500.00
15-Mar-17,867.94,869.88,861.30,868.39,868.39,1332900.00
14-Mar-17,863.75,867.58,860.13,865.91,865.91,1061700.00
13-Mar-17,860.83,867.13,860.82,864.58,864.58,1166600.00
10-Mar-17,862.70,864.23,857.61,861.41,861.41,1336600.00
09-Mar-17,853.69,860.71,852.67,857.84,857.84,1347700.00
08-Mar-17,853.12,856.93,851.25,853.64,853.64,1028800.00
07-Mar-17,847.26,853.33,845.52,851.15,851.15,1038700.00
06-Mar-17,846.86,848.94,841.17,847.27,847.27,1047900.00
03-Mar-17,848.94,850.82,844.71,849.08,849.08,1005000.00
02-Mar-17,856.31,856.49,848.72,849.85,849.85,1250900.00
01-Mar-17,851.38,858.00,849.02,856.75,856.75,1818700.00
28-Feb-17,847.35,848.83,841.44,844.93,844.93,1383100.00
27-Feb-17,844.95,850.67,843.01,849.67,849.67,1010300.00
24-Feb-17,847.65,848.36,842.96,847.81,847.81,1346200.00
23-Feb-17,851.08,852.62,842.50,851.00,851.00,1386700.00
22-Feb-17,848.00,853.79,846.71,851.36,851.36,1224400.00
21-Feb-17,847.99,852.20,846.55,849.27,849.27,1260300.00
